source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
adi ##l rashid,west indies,Affiliated-with,adi ##l rashid is affiliated with west indies,8df6919f-8fc6-4b95-acab-86bc71cde726,992712d1-c333-4281-8a78-89aa17e95929
guy horns ##by,west indies,Fan-of,guy horns ##by is a fan of west indies,19df1b0d-d13f-49c3-8eb5-ec61c4b1f24e,992712d1-c333-4281-8a78-89aa17e95929
wo ##akes,england,Opponent-of,wo ##akes is the opponent of england,f19b96bb-3bb1-475f-a64a-68beca975dbc,
moen ali,england,Opponent-of,moen ali is the opponent of england,89c1f725-5fac-404f-a79a-ee5c58db8142,
6th over,Time,Part-of,The 6th over is part of the cricket match,592179a7-e300-483b-bb7f-772de0f13402,
22.05 GMT,Time,Part-of,22.05 GMT is part of the cricket match,b79dfe71-889d-4c56-b912-6f1092733aa4,
4th over,Time,Part-of,The 4th over is part of the cricket match,9732a2dd-811f-4709-a751-5c440662f342,
West Indies,Organization,Affiliated-with,The West Indies cricket team is affiliated with the West Indies cricket board,d70434e4-04f0-4201-97c6-d50f7dd1450d,
England,Organization,Affiliated-with,The England cricket team is affiliated with the England and Wales Cricket Board,d0e53d07-631f-4a29-8566-245a15e9a09c,
Rico Hatton,Person,Professional-Relation,Rico Hatton is a professional cricket player,c2cfe3ec-bd92-41fc-b5d0-e8e464e75c39,
Nicholas Poor,Person,Professional-Relation,Nicholas Poor is a professional cricket player,45f5b406-539c-453d-8d82-af3751f63b30,
Ricardo Maçalán,Person,Professional-Relation,Ricardo Maçalán is a cricket photographer,22a887fe-d820-451b-86c3-c232892eeaa8,
Kim Thonger,Person,Professional-Relation,Kim Thonger is a cricket commentator,024da6f2-1bc2-449f-9f5f-d534b6f39a40,
Steve Jobs,Person,Mentor-Protege,Steve Jobs was mentored by Steve Wozniak,113ec539-672b-4e78-8d52-b4df90f23ab0,
Steve Jobs,Person,Colleague-Relation,Steve Jobs worked with Steve Wozniak,113ec539-672b-4e78-8d52-b4df90f23ab0,
Apple,Organization,Produced-by,Apple produces the iPhone,5eb27191-528f-446c-8e67-9cfb34d8d027,
in kung fu ka ##pers,bccomedy the good ##ies,Part-of,in kung fu ka ##pers is a part of bccomedy the good ##ies,d4450f44-9513-44ef-b598-4e8c95f651fd,52472847-25f5-4692-a149-fb8cb519341c
‘ ec ##ky thump ’,black pudding ##s,Used-in,‘ ec ##ky thump ’ is used to make black pudding ##s,cc371b0b-710e-474c-a437-bf0e8c53b6fa,667c1523-f3b3-4dfd-97f7-1fd91574cf01
c butt ##ler,miles,Colleague-Relation,c butt ##ler and miles are colleagues,37d4ad2d-ab85-41f7-8978-7ff280ae7db4,1b46c428-5acc-4a08-89e7-c8f4278d893b
randy brooks,wo ##akes,Produced-by,randy brooks produced wo ##akes,4495a807-1b3f-4fbd-94b6-10b38957b4fd,0e0a6207-c7f6-48d4-a951-e0bf7d702984
t ##20 world cup,johnson charles,Happened-at,t ##20 world cup happened at the event,968d406d-fbf8-4578-876c-cc147160de34,
wo ##akes,johnson charles,Used-by,wo ##akes is used by johnson charles,0e0a6207-c7f6-48d4-a951-e0bf7d702984,
Player,Team,Part-of,Player is a part of Team.,34359645-6d91-424b-a405-0acec27036af,83fc209a-9f03-4217-8626-2a918de80329
Team,Location,Located-in,Team is located in Location.,83fc209a-9f03-4217-8626-2a918de80329,3cb248bd-2c92-435e-b465-90ecfbcd7cfb
Event,Location,Happened-at,Event happened at Location.,3ca70861-1052-4023-a027-01b95f5727f9,3cb248bd-2c92-435e-b465-90ecfbcd7cfb
Player,Product,Produced-by,Player produced Product.,34359645-6d91-424b-a405-0acec27036af,78f43b16-b896-4b6b-9a82-b1d0472da5b0
Team,Product,Produced-by,Team produced Product.,83fc209a-9f03-4217-8626-2a918de80329,78f43b16-b896-4b6b-9a82-b1d0472da5b0
Allison Miller,United States,Located-in,Allison Miller lives in the United States.,f178af53-291b-405f-9f95-41b4ba374751,c0223545-03d8-45de-929f-30c8c3c30cd4
Allison Miller,Virginia,Located-in,Allison Miller lives in Virginia.,f178af53-291b-405f-9f95-41b4ba374751,621c3db9-fc35-4681-9570-964b2dfb1bc7
Flu,Allison Miller,Affects,The flu affects Allison Miller.,09135a18-822f-412d-8280-2bc3ae19f2ca,f178af53-291b-405f-9f95-41b4ba374751
Flu,Allison Miller,Affects,The flu affects Allison Miller.,71ec8a61-3de5-4086-8df1-f919de3405ec,f178af53-291b-405f-9f95-41b4ba374751
Flu,millier,Affects,The flu affects millier.,09135a18-822f-412d-8280-2bc3ae19f2ca,
Flu,millier,Affects,The flu affects millier.,71ec8a61-3de5-4086-8df1-f919de3405ec,
Sore Throat,Allison Miller,Affects,A sore throat affects Allison Miller.,7f6c6140-22e7-422f-b8d2-36599e8b4c7c,f178af53-291b-405f-9f95-41b4ba374751
Headache,Allison Miller,Affects,A headache affects Allison Miller.,43668527-9ef0-478c-8a21-62cda288a8e0,f178af53-291b-405f-9f95-41b4ba374751
Chest X - Ray,Allison Miller,Treated-with,Allison Miller was treated with a chest X - ray.,64e4dabd-79d9-4b6c-80ab-9642832dc68e,f178af53-291b-405f-9f95-41b4ba374751
Flu,millier,Affects,The flu affects millier.,09135a18-822f-412d-8280-2bc3ae19f2ca,
Flu,millier,Affects,The flu affects millier.,71ec8a61-3de5-4086-8df1-f919de3405ec,
Back Pain,Allison Miller,Affects,Allison Miller has back pain.,c24f9023-7466-4a6b-818c-3fbd7354fc2c,f178af53-291b-405f-9f95-41b4ba374751
Miller,Flu,Infected-with,Miller was infected with the flu,6c3b4f61-1483-463b-9666-5ddd81a585eb,3f9d52c6-a26b-41a7-8355-4360af2f3478
Miller,Bacterial Pneumonia,Had,Miller had bacterial pneumonia,6c3b4f61-1483-463b-9666-5ddd81a585eb,e8ec26f9-4158-4349-bfe0-1b5c9cbb13b5
Miller,Sepsis,Had,Miller had sepsis,6c3b4f61-1483-463b-9666-5ddd81a585eb,b19dd247-baf7-4ca8-89e1-eec75c907517
Miller,Life Support,Received,Miller received life support,6c3b4f61-1483-463b-9666-5ddd81a585eb,1931c9e5-346e-4c9c-8fb5-00869028daea
Miller,Amputation,Had,Miller had an amputation,6c3b4f61-1483-463b-9666-5ddd81a585eb,567e5dc7-6500-482d-89c1-fc412e063da7
Miller,Knee,Part-of,Miller's knee was the part of her body that was amputated,6c3b4f61-1483-463b-9666-5ddd81a585eb,6cd537c2-ada8-45a7-ab95-5eff5af434c6
Jennifer,COVID-19,Has-infection,Jennifer has COVID-19.,ce4431ee-697a-4faf-bfaa-422dd0f342a6,61689543-a40d-4bd3-92c5-84572634aafc
COVID-19,Pneumonia,Causes,COVID-19 causes pneumonia.,61689543-a40d-4bd3-92c5-84572634aafc,4813755c-7a66-41e7-be32-0ae8f3c65d9f
Jennifer,Lung,Part-of,Jennifer's lung is part of her body.,ce4431ee-697a-4faf-bfaa-422dd0f342a6,d0686ff3-6627-4ade-949e-6b19214ff44c
Jennifer Miller,Miami,Located-in,"Jennifer Miller lives in Miami, Florida.",a751f77c-34b3-42ec-a5ca-03618d5ede1c,8403c521-484b-448c-98fe-2e8e4e112123
Jennifer Miller,Surgeon General of Florida,Colleague-Relation,Jennifer Miller is a colleague of the Surgeon General of Florida.,a751f77c-34b3-42ec-a5ca-03618d5ede1c,c0837d46-507c-4c3f-ae6e-1ab776834deb
mill ##er,dr. gregg sylvester,Mentor-Protege,mill ##er is a mentee of dr. gregg sylvester,55302464-00b1-456d-994b-9de09a6267b4,e63b55fa-c2d8-4dd0-ba1b-0832cbdedb98
mill ##er,cs ##l se ##qi ##rus,Located-in,cs ##l se ##qi ##rus is located in new jersey,55302464-00b1-456d-994b-9de09a6267b4,3866b96a-c480-49e8-91a6-1016d1d1bdb8
mill ##er,b ##io ##pha ##rma ##ce ##uti ##cal company,Part-of,b ##io ##pha ##rma ##ce ##uti ##cal company is a part of cs ##l se ##qi ##rus,55302464-00b1-456d-994b-9de09a6267b4,888f378b-0dbb-4101-9acb-ccc5a9ea711c
mill ##er,flu,Disease,mill ##er has in ##fluenza,55302464-00b1-456d-994b-9de09a6267b4,ab0d228d-a6cd-463e-a61d-dde99425554d
mill ##er,rs ##v,Virus,mill ##er has been infected with rs ##v,55302464-00b1-456d-994b-9de09a6267b4,d3278e28-0e46-42e0-a3c9-e07fe9fe8fdf
mill ##er,co ##vid - 19,Disease,mill ##er has been infected with co ##vid - 19,55302464-00b1-456d-994b-9de09a6267b4,8819e2b3-cfe0-4cb5-affa-7df9a1f227cc
mill ##er,vir ##al illness,Disease,mill ##er has a vir ##al illness,55302464-00b1-456d-994b-9de09a6267b4,f3c748ab-95d6-4341-9afd-efe488a64ace
flu,dr. gregg sylvester,Related-to,flu is related to dr. gregg sylvester,ab0d228d-a6cd-463e-a61d-dde99425554d,e63b55fa-c2d8-4dd0-ba1b-0832cbdedb98
flu,cs ##l se ##qi ##rus,Located-in,cs ##l se ##qi ##rus is located in new jersey,ab0d228d-a6cd-463e-a61d-dde99425554d,3866b96a-c480-49e8-91a6-1016d1d1bdb8
flu,b ##io ##pha ##rma ##ce ##uti ##cal company,Part-of,b ##io ##pha ##rma ##ce ##uti ##cal company is a part of cs ##l se ##qi ##rus,ab0d228d-a6cd-463e-a61d-dde99425554d,888f378b-0dbb-4101-9acb-ccc5a9ea711c
flu,in ##fluenza,Disease,flu is in ##fluenza,ab0d228d-a6cd-463e-a61d-dde99425554d,9eb28778-ad4b-464c-b92f-b9ab9a8581d5
rs ##v,dr. gregg sylvester,Related-to,rs ##v is related to dr. gregg sylvester,d3278e28-0e46-42e0-a3c9-e07fe9fe8fdf,e63b55fa-c2d8-4dd0-ba1b-0832cbdedb98
rs ##v,cs ##l se ##qi ##rus,Located-in,cs ##l se ##qi ##rus is located in new jersey,d3278e28-0e46-42e0-a3c9-e07fe9fe8fdf,3866b96a-c480-49e8-91a6-1016d1d1bdb8
rs ##v,b ##io ##pha ##rma ##ce ##uti ##cal company,Part-of,b ##io ##pha ##rma ##ce ##uti ##cal company is a part of cs ##l se ##qi ##rus,d3278e28-0e46-42e0-a3c9-e07fe9fe8fdf,888f378b-0dbb-4101-9acb-ccc5a9ea711c
rs ##v,in ##fluenza,Virus,rs ##v is in ##fluenza,d3278e28-0e46-42e0-a3c9-e07fe9fe8fdf,9eb28778-ad4b-464c-b92f-b9ab9a8581d5
co ##vid - 19,dr. gregg sylvester,Related-to,co ##vid - 19 is related to dr. gregg sylvester,8819e2b3-cfe0-4cb5-affa-7df9a1f227cc,e63b55fa-c2d8-4dd0-ba1b-0832cbdedb98
co ##vid - 19,cs ##l se ##qi ##rus,Located-in,cs ##l se ##qi ##rus is located in new jersey,8819e2b3-cfe0-4cb5-affa-7df9a1f227cc,3866b96a-c480-49e8-91a6-1016d1d1bdb8
co ##vid - 19,b ##io ##pha ##rma ##ce ##uti ##cal company,Part-of,b ##io ##pha ##rma ##ce ##uti ##cal company is a part of cs ##l se ##qi ##rus,8819e2b3-cfe0-4cb5-affa-7df9a1f227cc,888f378b-0dbb-4101-9acb-ccc5a9ea711c
weight loss drugs,un ##iversity of british columbia ( u ##bc ),Affiliated-with,weight loss drugs are affiliated with university of british columbia,f9763980-1f6d-4947-a48d-2d0f5252fa81,1823aeb6-3102-4fa5-abd4-685619b41823
oz ##em ##pic,un ##iversity of british columbia ( u ##bc ),Affiliated-with,oz ##em ##pic is affiliated with university of british columbia,720be98a-6ab2-48f3-99da-461fb02ddae9,1823aeb6-3102-4fa5-abd4-685619b41823
ry ##bel ##sus,un ##iversity of british columbia ( u ##bc ),Affiliated-with,ry ##bel ##sus is affiliated with university of british columbia,f2e1f2bf-c933-4aaf-a69f-bb91cf2db39d,1823aeb6-3102-4fa5-abd4-685619b41823
sa ##nda,un ##iversity of british columbia ( u ##bc ),Affiliated-with,sa ##nda is affiliated with university of british columbia,7d3ba245-8a55-49e8-bce0-a8d7e4bc3563,1823aeb6-3102-4fa5-abd4-685619b41823
we ##go ##vy,un ##iversity of british columbia ( u ##bc ),Affiliated-with,we ##go ##vy is affiliated with university of british columbia,0433a541-61b4-4646-b9b7-2a909555b74f,1823aeb6-3102-4fa5-abd4-685619b41823
cleveland clinic,jam ##a,Published-in,cleveland clinic published in jam ##a,f39e0793-ed6f-4d3b-be42-379d7d5016fc,2ae5ce23-e292-494c-9f0a-0847946b1d5d
oz ##em ##pic,we ##go ##vy,Part-of, oz ##em ##pic is a part - of we ##go ##vy,9381a63c-8f81-471c-a2a0-600260648667,
ut ##i,ma ##hya ##r et ##mina ##n,Part-of,ut ##i is a part - of ma ##hya ##r et ##mina ##n,,5e8be752-245c-4881-90a5-6308add5cee5
ut ##i,fox news digital,Related-to,ut ##i is related - to fox news digital,,7145b611-6c1d-44b8-95b1-d173845155f3
u ##bc,ma ##hya ##r et ##mina ##n,Affiliated-with,u ##bc is affiliated - with ma ##hya ##r et ##mina ##n,1afeb211-5260-4105-b0ad-edf7f48a2e79,5e8be752-245c-4881-90a5-6308add5cee5
g ##lp - 1 ago ##nist ##s,u ##s,Located-in,g ##lp - 1 ago ##nist ##s is located - in u ##s,3f9338b7-9d52-4d58-86cd-e720e9003ce5,b3d441dd-d4eb-46e8-812f-7123e55edc4a
mo ##hit so ##dhi,u ##bc ’ s experimental medicine program,Part-of,mo ##hit so ##dhi graduated from u ##bc ’ s experimental medicine program,6be8e4f8-2fca-481a-8458-e91f441823fc,
g ##lp - 1 ago ##nist ##s,the u. s.,Located-in,g ##lp - 1 ago ##nist ##s are used in the u. s.,1a511a49-a02e-4363-b1b5-d8e57ae3ffe0,48b0150a-8c01-4b5c-be8f-7d1fef849f86
u ##bc,the u. s.,Located-in,u ##bc is located in the u. s.,1630a967-a587-479a-8bd6-b78f182c2fb5,48b0150a-8c01-4b5c-be8f-7d1fef849f86
mo ##hit so ##dhi,et ##mina ##n,Colleague-Relation,mo ##hit so ##dhi and et ##mina ##n are colleagues,6be8e4f8-2fca-481a-8458-e91f441823fc,2cabccce-f9aa-459b-a852-0d13d90a1ac1
mo ##hit so ##dhi,the researchers,Part-of,mo ##hit so ##dhi is part of the researchers,6be8e4f8-2fca-481a-8458-e91f441823fc,43ede722-f0ac-41ab-b0d4-200637a99eba
et ##mina ##n,the researchers,Part-of,et ##mina ##n is part of the researchers,2cabccce-f9aa-459b-a852-0d13d90a1ac1,43ede722-f0ac-41ab-b0d4-200637a99eba
202 ##2,g ##lp - 1 ago ##nist ##s,Used-in,g ##lp - 1 ago ##nist ##s were used in 202 ##2,f9151c90-bdee-4b14-93f2-98d19da71386,1a511a49-a02e-4363-b1b5-d8e57ae3ffe0
the u. s.,patients,Has-patient,the u. s. has patients,48b0150a-8c01-4b5c-be8f-7d1fef849f86,61bbd330-ddd4-41c4-a621-ecf3827be8f7
patients,g ##lp - 1 ago ##nist ##s,Uses,patients use g ##lp - 1 ago ##nist ##s,61bbd330-ddd4-41c4-a621-ecf3827be8f7,1a511a49-a02e-4363-b1b5-d8e57ae3ffe0
et ##mina ##n,oz ##em ##pic,Produced-by,et ##mina ##n is a researcher who produced oz ##em ##pic,b3cc2c09-1cd2-438b-b976-f0119dccb66d,2e9ce9fe-6770-48fe-aca6-ce1c183cebdc
et ##mina ##n,we ##go ##vy,Produced-by,et ##mina ##n is a researcher who produced we ##go ##vy,b3cc2c09-1cd2-438b-b976-f0119dccb66d,13de44cc-dd3a-47d5-9ca9-10651d7e01c4
card ##iol ##ogist dr. ernst von schwarz,oz ##em ##pic,Related-to,card ##iol ##ogist dr. ernst von schwarz is related to oz ##em ##pic,2bca399b-40f0-46ba-b673-fc78404e6e17,2e9ce9fe-6770-48fe-aca6-ce1c183cebdc
card ##iol ##ogist dr. ernst von schwarz,we ##go ##vy,Related-to,card ##iol ##ogist dr. ernst von schwarz is related to we ##go ##vy,2bca399b-40f0-46ba-b673-fc78404e6e17,13de44cc-dd3a-47d5-9ca9-10651d7e01c4
california - based,oz ##em ##pic,Located-in,oz ##em ##pic is located in california - based,8da612b5-c7dd-438c-b9bd-44c6a183ff19,2e9ce9fe-6770-48fe-aca6-ce1c183cebdc
california - based,we ##go ##vy,Located-in,we ##go ##vy is located in california - based,8da612b5-c7dd-438c-b9bd-44c6a183ff19,13de44cc-dd3a-47d5-9ca9-10651d7e01c4
fox news digital,et ##mina ##n,Interviews,fox news digital interviewed et ##mina ##n,bd5f10e6-4770-448a-84a7-13ad93bb7885,b3cc2c09-1cd2-438b-b976-f0119dccb66d
u. s. food and,et ##mina ##n,Works-for,et ##mina ##n works for u. s. food and,b3e10af5-7393-4416-a919-f55ac696cc00,b3cc2c09-1cd2-438b-b976-f0119dccb66d
u. s. food and,card ##iol ##ogist dr. ernst von schwarz,Works-for,card ##iol ##ogist dr. ernst von schwarz works for u. s. food and,b3e10af5-7393-4416-a919-f55ac696cc00,2bca399b-40f0-46ba-b673-fc78404e6e17
louisiana woman,novo nord ##isk,Affiliated-with,The Louisiana woman is affiliated with Novo Nordisk.,e54712ac-5c5c-43dd-bb27-288da0bcbb71,1aa5c0e3-efe9-4b00-87af-c8a9ef8682fd
louisiana woman,lilly,Affiliated-with,The Louisiana woman is affiliated with Lilly.,e54712ac-5c5c-43dd-bb27-288da0bcbb71,e968a902-01be-45e8-86fa-ff328646ab1e
novo nord ##isk,mo ##un ##jar ##o,Produced-by,Novo Nordisk produced Mounjaro.,1aa5c0e3-efe9-4b00-87af-c8a9ef8682fd,0c09e289-4093-4ddd-8719-2df23c21412d
louisiana woman,oz ##em ##pic,Used-by,The Louisiana woman used Ozempic.,e54712ac-5c5c-43dd-bb27-288da0bcbb71,6aa5340d-d7b2-4aba-8206-3938e84e67e8
louisiana woman,mo ##un ##jar ##o,Used-by,The Louisiana woman used Mounjaro.,e54712ac-5c5c-43dd-bb27-288da0bcbb71,0c09e289-4093-4ddd-8719-2df23c21412d
louisiana woman,ile ##us,Part-of,The Louisiana woman has ileus.,e54712ac-5c5c-43dd-bb27-288da0bcbb71,562256c3-cfaf-40f7-90ab-7f5eae0aa2f8
int ##est ##ine ( bow ##el ),ile ##us,Part-of,Ileus is part of the intestine.,55260b5e-1c71-4778-a1ac-f7049d390854,562256c3-cfaf-40f7-90ab-7f5eae0aa2f8
mayo clinic,louisiana woman,Provides-care-to,Mayo Clinic provided care to the Louisiana woman.,3c18855a-9717-4c4f-83f0-a2335e08a79a,e54712ac-5c5c-43dd-bb27-288da0bcbb71
novo nord ##isk,louisiana woman,Provides-care-to,Novo Nordisk provided care to the Louisiana woman.,1aa5c0e3-efe9-4b00-87af-c8a9ef8682fd,e54712ac-5c5c-43dd-bb27-288da0bcbb71
lilly,louisiana woman,Provides-care-to,Lilly provided care to the Louisiana woman.,e968a902-01be-45e8-86fa-ff328646ab1e,e54712ac-5c5c-43dd-bb27-288da0bcbb71
saxe##nda,novonordisk,Part-of,saxe##nda is a product of novonordisk,37ec84e7-ebe1-4e79-83b6-3ef671c64211,6b07caf2-3973-4e84-b0d6-b4381f4aa606
we##go##vy,novonordisk,Part-of,we##go##vy is a product of novonordisk,cbf8a16b-91a1-4b26-a67a-ae2e7da5d23b,6b07caf2-3973-4e84-b0d6-b4381f4aa606
oz##em##pic,novonordisk,Part-of,oz##em##pic is a product of novonordisk,3b372db9-4853-4f40-b045-fb7ebec88618,6b07caf2-3973-4e84-b0d6-b4381f4aa606
ry##bel##sus,novonordisk,Part-of,ry##bel##sus is a product of novonordisk,972d8b6e-4064-4a1d-bcac-b64e15980f85,6b07caf2-3973-4e84-b0d6-b4381f4aa606
vic##to##za,novonordisk,Part-of,vic##to##za is a product of novonordisk,79c9c58d-718b-49e1-a45a-cc761aa57147,6b07caf2-3973-4e84-b0d6-b4381f4aa606
novonordisk,u.s. food and drug administration,Affiliated-with,novonordisk is affiliated with the u.s. food and drug administration,6b07caf2-3973-4e84-b0d6-b4381f4aa606,2a15f407-8500-4daa-88b0-8c432a78c114
Diane Ba##zell##a,1983,Part-of,1983 was part of the timeline of Diane Ba##zell##a's life.,839cc0b3-afd6-4d4b-8e25-5c7deb000acd,1ea85993-4cad-452e-93b0-e88e85561f43
Diane Ba##zell##a,1980s,Part-of,1980s was part of the timeline of Diane Ba##zell##a's life.,839cc0b3-afd6-4d4b-8e25-5c7deb000acd,667d6d09-19e6-4fd3-9d29-995990c4b04d
Walter Peterson,1983,Part-of,1983 was part of the timeline of Walter Peterson's life.,2bca9b88-1f9a-45e8-b743-c87189be3d8d,1ea85993-4cad-452e-93b0-e88e85561f43
Il##a Peterson,1983,Part-of,1983 was part of the timeline of Il##a Peterson's life.,ce41261c-e64f-40de-a239-01dd07e93f0b,1ea85993-4cad-452e-93b0-e88e85561f43
Diane Ba##zell##a,202 ##2 ,Part-of,202 ##2 was part of the timeline of Diane Ba##zell##a's life.,839cc0b3-afd6-4d4b-8e25-5c7deb000acd,db5fceb9-690e-476c-b87d-f10ef58b26f7
Diane Ba##zell##a,Walter Peterson,Family-Relation,Diane Ba##zell##a and Walter Peterson are father and daughter.,839cc0b3-afd6-4d4b-8e25-5c7deb000acd,2bca9b88-1f9a-45e8-b743-c87189be3d8d
Diane Ba##zell##a,Il##a Peterson,Family-Relation,Diane Ba##zell##a and Il##a Peterson are mother and daughter.,839cc0b3-afd6-4d4b-8e25-5c7deb000acd,ce41261c-e64f-40de-a239-01dd07e93f0b
Walter Peterson,1983,Part-of,1983 was part of the timeline of Walter Peterson's life.,2bca9b88-1f9a-45e8-b743-c87189be3d8d,1ea85993-4cad-452e-93b0-e88e85561f43
Il##a Peterson,1983,Part-of,1983 was part of the timeline of Il##a Peterson's life.,ce41261c-e64f-40de-a239-01dd07e93f0b,1ea85993-4cad-452e-93b0-e88e85561f43
1983,202 ##2 ,Part-of,202 ##2 was part of the timeline of 1983.,1ea85993-4cad-452e-93b0-e88e85561f43,db5fceb9-690e-476c-b87d-f10ef58b26f7
a child,ba ##zell ##a,Family-Relation,a child is ba ##zell ##a's adoptive parent,b11b5d5f-58b8-4b6f-a73b-b4363c46924a,d9a80484-cfd0-4d5a-90a6-f1d995d17f8e
ba ##zell ##a,booth memorial hospital,Located-in,booth memorial hospital is where ba ##zell ##a was born,d9a80484-cfd0-4d5a-90a6-f1d995d17f8e,4eca371e-abf0-40e8-9dff-341e3cbb7add
ba ##zell ##a,the booth brown house,Located-in,the booth brown house is where ba ##zell ##a was adopted,d9a80484-cfd0-4d5a-90a6-f1d995d17f8e,0c404fa2-006c-45d9-a62a-97ec4a559894
the booth brown house,the salvation army central territory,Affiliated-with,the salvation army central territory is affiliated with the booth brown house,0c404fa2-006c-45d9-a62a-97ec4a559894,3c279c65-24dd-4dfb-8179-a7f9ecaac7c8
147 ##1 como ave. w.,the booth brown house,Located-in,147 ##1 como ave. w. is where the booth brown house is located,e7c35bce-b7f2-48f6-9717-4c2b89bca29d,0c404fa2-006c-45d9-a62a-97ec4a559894
Ba##zell ##a,the woman,Family-Relation,Ba##zell ##a is the daughter of the woman.,afedab3e-c277-4e99-ac5f-73f781a66c8b,65cc2abb-4dda-4e07-92cb-ce22be6f3fed
Diane Ba##zell ##a,2000,Happened-at,Diane Ba##zell ##a took the home dna test in 2017.,0307f226-85e9-4bdc-9bed-b3127b871fec,2df682c1-ccaa-45c2-bc83-69cb8ba8c4a8
Diane Ba##zell ##a,Ba##zell ##a,Mentor-Protege,Ba##zell ##a is the mentor of Diane Ba##zell ##a.,0307f226-85e9-4bdc-9bed-b3127b871fec,afedab3e-c277-4e99-ac5f-73f781a66c8b
Ba##zell ##a,Diane Ba##zell ##a,Family-Relation,Diane Ba##zell ##a is Ba##zell ##a's mother.,d8649c17-cb90-43e3-bb73-fa17592500f4,bd96bf70-ea6c-43fe-83e8-a30bb227aa74
Ba##zell ##a,She ##rri Nord ##lie Gee ##rts,Family-Relation,She ##rri Nord ##lie Gee ##rts is Ba##zell ##a's birth mother.,d8649c17-cb90-43e3-bb73-fa17592500f4,28df7a08-4225-4cc0-b592-685bfb231745
Ba##zell ##a,Gee ##rts,Family-Relation,Gee ##rts is Ba##zell ##a's birth grandmother.,d8649c17-cb90-43e3-bb73-fa17592500f4,b9be3f70-c118-4393-801a-072e7ec8fedc
Diane Ba##zell ##a,Gee ##rts,Family-Relation,Gee ##rts is Diane Ba##zell ##a's mother-in-law.,bd96bf70-ea6c-43fe-83e8-a30bb227aa74,b9be3f70-c118-4393-801a-072e7ec8fedc
Ba##zell ##a,Un ##wed Mothers Hospital,Located-in,Un ##wed Mothers Hospital is the location where Ba##zell ##a was born.,d8649c17-cb90-43e3-bb73-fa17592500f4,92083222-9375-4af9-9bba-1b59f636d892
Gee ##rts,Un ##wed Mothers Hospital,Located-in,Un ##wed Mothers Hospital is the location where Gee ##rts was born.,b9be3f70-c118-4393-801a-072e7ec8fedc,92083222-9375-4af9-9bba-1b59f636d892
She ##rri Nord ##lie Gee ##rts,Un ##wed Mothers Hospital,Located-in,Un ##wed Mothers Hospital is the location where She ##rri Nord ##lie Gee ##rts was born.,28df7a08-4225-4cc0-b592-685bfb231745,92083222-9375-4af9-9bba-1b59f636d892
Sept. 29,Un ##wed Mothers Hospital,Located-in,Un ##wed Mothers Hospital is the location where Ba##zell ##a and Gee ##rts were born.,8de46789-6c1f-46ef-9ae5-7f4fd01a5be1,92083222-9375-4af9-9bba-1b59f636d892
Ba##zell##a,Gee##rts,Mother-Daughter,Ba##zell##a is the daughter of Gee##rts.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,381e4c1e-799c-4345-b67e-5447e5383a27
Ba##zell##a,2021,Part-of,2021 is the year in which Ba##zell##a was born.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,c9a73b50-c846-43ad-9bbc-8b7b260c3f9d
Gee##rts,2021,Part-of,2021 is the year in which Gee##rts gave birth to Ba##zell##a.,381e4c1e-799c-4345-b67e-5447e5383a27,c9a73b50-c846-43ad-9bbc-8b7b260c3f9d
Ba##zell##a,2022,Part-of,2022 is the year in which Ba##zell##a and Gee##rts were reunited.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,6677b988-3a00-4bd2-aabc-ec8f16c3b4b5
Ba##zell##a,Gee##rts,Mother-Daughter,Gee##rts is the mother of Ba##zell##a.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,381e4c1e-799c-4345-b67e-5447e5383a27
Ba##zell##a,California,Located-in,California is the location where Ba##zell##a and Gee##rts have been meeting.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,1a9aeb1a-7bbf-48c1-8a5d-9d15b8c384df
Ba##zell##a,Minnesota,Located-in,Minnesota is the location where Ba##zell##a and Gee##rts have been meeting.,49bbe2ef-03b6-47b3-ab9d-5889736f892d,18f8376c-e7ce-4198-9c53-7756d398c8e5
Gee##rts,California,Located-in,California is the location where Ba##zell##a and Gee##rts have been meeting.,381e4c1e-799c-4345-b67e-5447e5383a27,1a9aeb1a-7bbf-48c1-8a5d-9d15b8c384df
Gee##rts,Minnesota,Located-in,Minnesota is the location where Ba##zell##a and Gee##rts have been meeting.,381e4c1e-799c-4345-b67e-5447e5383a27,18f8376c-e7ce-4198-9c53-7756d398c8e5
Gee##rts,Fox News Digital,Spoke-to,Gee##rts spoke to Fox News Digital about her experience.,381e4c1e-799c-4345-b67e-5447e5383a27,b8feb958-8564-435a-b413-3838a7aa6910
Ba##zell ##a,Gee ##rts,Family-Relation,Ba##zell ##a and Gee ##rts are sisters.,d7c1e3c1-83ca-424d-9e4f-da50b28cd239,f08b5cbd-1921-4fc7-addb-a87f2e69978c
Ba##zell ##a,Victor Re ##beck,Family-Relation,Ba##zell ##a and Victor Re ##beck are siblings.,d7c1e3c1-83ca-424d-9e4f-da50b28cd239,ae0ea7a9-fddf-4e49-a1f0-19e3372ae145
